day,title,sourceYaml,colab,marimo,done,memo
01,헬로월드,study/python/30days/day01_헬로월드.yaml,colab/day01Helloworld.ipynb,marimo/day01Helloworld.py,,
02,변수와 데이터 타입,study/python/30days/day02_변수와데이터타입.yaml,colab/day02Variablestypes.ipynb,marimo/day02Variablestypes.py,,
03,연산자,study/python/30days/day03_연산자.yaml,colab/day03Operators.ipynb,marimo/day03Operators.py,,
04,문자열 기초,study/python/30days/day04_문자열기초.yaml,colab/day04Stringbasics.ipynb,marimo/day04Stringbasics.py,,
05,문자열 인덱싱/슬라이싱,study/python/30days/day05_문자열인덱싱슬라이싱.yaml,colab/day05Stringindexingslicing.ipynb,marimo/day05Stringindexingslicing.py,,
06,문자열 메서드,study/python/30days/day06_문자열메서드.yaml,colab/day06Stringmethods.ipynb,marimo/day06Stringmethods.py,,
07,리스트 기초,study/python/30days/day07_리스트기초.yaml,colab/day07Listbasics.ipynb,marimo/day07Listbasics.py,,
08,리스트 메서드,study/python/30days/day08_리스트메서드.yaml,colab/day08Listmethods.ipynb,marimo/day08Listmethods.py,,
09,튜플,study/python/30days/day09_튜플.yaml,colab/day09Tuples.ipynb,marimo/day09Tuples.py,,
10,집합,study/python/30days/day10_집합.yaml,colab/day10Sets.ipynb,marimo/day10Sets.py,,
11,딕셔너리 기초,study/python/30days/day11_딕셔너리기초.yaml,colab/day11Dictbasics.ipynb,marimo/day11Dictbasics.py,,
12,딕셔너리 메서드,study/python/30days/day12_딕셔너리메서드.yaml,colab/day12Dictmethods.ipynb,marimo/day12Dictmethods.py,,
13,조건문,study/python/30days/day13_조건문.yaml,colab/day13Conditionals.ipynb,marimo/day13Conditionals.py,,
14,반복문,study/python/30days/day14_반복문.yaml,colab/day14Loops.ipynb,marimo/day14Loops.py,,
15,함수 기초,study/python/30days/day15_함수기초.yaml,colab/day15Functionbasics.ipynb,marimo/day15Functionbasics.py,,
16,함수 고급,study/python/30days/day16_함수고급.yaml,colab/day16Functionadvanced.ipynb,marimo/day16Functionadvanced.py,,
17,스코프와 클로저,study/python/30days/day17_스코프와클로저.yaml,colab/day17Scopeclosure.ipynb,marimo/day17Scopeclosure.py,,
18,모듈과 import,study/python/30days/day18_모듈과import.yaml,colab/day18Modulesimport.ipynb,marimo/day18Modulesimport.py,,
19,파일 입출력,study/python/30days/day19_파일입출력.yaml,colab/day19Fileio.ipynb,marimo/day19Fileio.py,,
20,예외 처리,study/python/30days/day20_예외처리.yaml,colab/day20Exceptionhandling.ipynb,marimo/day20Exceptionhandling.py,,
21,중간 종합 복습,study/python/30days/day21_중간종합복습.yaml,colab/day21Midreview.ipynb,marimo/day21Midreview.py,,
22,클래스 기초,study/python/30days/day22_클래스기초.yaml,colab/day22Classbasics.ipynb,marimo/day22Classbasics.py,,
23,클래스 고급,study/python/30days/day23_클래스고급.yaml,colab/day23Classadvanced.ipynb,marimo/day23Classadvanced.py,,
24,특수 메서드,study/python/30days/day24_특수메서드.yaml,colab/day24Specialmethods.ipynb,marimo/day24Specialmethods.py,,
25,프로퍼티와 데코레이터,study/python/30days/day25_프로퍼티와데코레이터.yaml,colab/day25Propertydecorator.ipynb,marimo/day25Propertydecorator.py,,
26,컴프리헨션,study/python/30days/day26_컴프리헨션.yaml,colab/day26Comprehensions.ipynb,marimo/day26Comprehensions.py,,
27,제너레이터와 이터레이터,study/python/30days/day27_제너레이터와이터레이터.yaml,colab/day27Generatorsiterators.ipynb,marimo/day27Generatorsiterators.py,,
28,고급 문법 종합,study/python/30days/day28_고급문법종합.yaml,colab/day28Advancedsyntaxreview.ipynb,marimo/day28Advancedsyntaxreview.py,,
29,알고리즘 연습,study/python/30days/day29_알고리즘연습.yaml,colab/day29Algorithmpractice.ipynb,marimo/day29Algorithmpractice.py,,
30,최종 프로젝트,study/python/30days/day30_최종프로젝트.yaml,colab/day30Finalproject.ipynb,marimo/day30Finalproject.py,,
